DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200216570,10/23/2020 12:00:00 AM,10/01/2020 12:00:00 AM,2000,2,Rampart,249,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1820 0913,42,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,956.0,,,,600    ST PAUL                      AV,,34.0542,-118.2611
211009787,07/04/2021 12:00:00 AM,07/03/2021 12:00:00 AM,2250,10,West Valley,1011,2,354,THEFT OF IDENTITY,1822 0377,49,M,W,101.0,STREET,,,AA,Adult Arrest,354.0,,,,ARMINTA,WOODLEY,34.2047,-118.5531
201225286,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,1610,12,77th Street,1241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 2021 0340 0334 0353 0445,35,M,B,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,230.0,,,,6400    WEST                         BL,,33.981,-118.3352
231614576,12/01/2023 12:00:00 AM,10/04/2023 12:00:00 AM,900,16,Foothill,1657,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,50,F,H,116.0,OTHER/OUTSIDE,,,IC,Invest Cont,440.0,,,,10100    HILLHAVEN                    AV,,34.2523,-118.2898
221007431,04/01/2022 12:00:00 AM,03/31/2022 12:00:00 AM,1830,10,West Valley,1004,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344,40,M,F,701.0,HOSPITAL,,,IC,Invest Cont,420.0,,,,18300    ROSCOE                       BL,,34.2208,-118.5317
240207085,02/29/2024 12:00:00 AM,02/29/2024 12:00:00 AM,2100,2,Rampart,275,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0444 0429,26,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,1600 W  11TH                         ST,,34.0506,-118.2769
210513939,09/21/2021 12:00:00 AM,09/21/2021 12:00:00 AM,1338,5,Harbor,521,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1912 1258 1822,10,M,H,704.0,ELEMENTARY SCHOOL,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,930.0,,,,1800 N  TAPER                        AV,,33.7614,-118.2989
210213404,08/18/2021 12:00:00 AM,08/18/2021 12:00:00 AM,1400,2,Rampart,233,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0444,20,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,2700    BEVERLY                      BL,,34.0699,-118.2777
231013989,08/14/2023 12:00:00 AM,08/08/2023 12:00:00 AM,1400,10,West Valley,1005,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 1300 0385,42,M,W,101.0,STREET,,,IC,Invest Cont,331.0,,,,7600    HESPERIA                     AV,,34.2084,-118.5263
240613742,12/03/2024 12:00:00 AM,11/29/2024 12:00:00 AM,1624,6,Hollywood,637,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0394 1501,24,F,W,504.0,OTHER RESIDENCE,,,IC,Invest Cont,440.0,,,,6200    HOLLYWOOD                    BL,,34.103,-118.3225
200809224,05/08/2020 12:00:00 AM,03/06/2020 12:00:00 AM,1200,8,West LA,836,2,354,THEFT OF IDENTITY,0100 1202,83,F,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1900    THAYER                       AV,,34.0541,-118.4255
211101077,11/19/2021 12:00:00 AM,11/17/2021 12:00:00 AM,1500,11,Northeast,1109,1,310,BURGLARY,1402 1419 1608 0344 0314,86,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,998.0,,,5400    KINCHELOE                    DR,,34.1463,-118.2006
240510856,08/23/2024 12:00:00 AM,08/22/2024 12:00:00 AM,2000,5,Harbor,509,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,1600 W  LOMITA                       BL,,33.7978,-118.3043
230200518,01/14/2023 12:00:00 AM,01/14/2023 12:00:00 AM,100,2,Rampart,237,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1822 0302 0430,43,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,230.0,,,,COLUMBIA                     AV,MIRAMAR                      ST,34.0605,-118.2634
232107163,03/26/2023 12:00:00 AM,03/26/2023 12:00:00 AM,430,21,Topanga,2114,1,310,BURGLARY,0216 0369 1606 0344 1402 2004,70,F,A,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,310.0,998.0,,,22200    STRATHERN                    ST,,34.2156,-118.6103
211015063,11/28/2021 12:00:00 AM,11/28/2021 12:00:00 AM,1430,10,West Valley,1079,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1202,84,F,O,404.0,DEPARTMENT STORE,,,IC,Invest Cont,440.0,,,,15900    VENTURA                      BL,,34.1599,-118.4766
220604327,01/08/2022 12:00:00 AM,01/02/2022 12:00:00 AM,1807,6,Hollywood,645,2,354,THEFT OF IDENTITY,0377 1822 1501 0929 0344,48,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,1700 N  SYCAMORE                     AV,,34.1015,-118.3434
221009375,05/19/2022 12:00:00 AM,05/19/2022 12:00:00 AM,30,10,West Valley,1035,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0913 1814 2000 0329 1414,48,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",311.0,HAMMER,AA,Adult Arrest,740.0,,,,18300    VANOWEN                      ST,,34.1939,-118.5328
200514083,09/13/2020 12:00:00 AM,09/12/2020 12:00:00 AM,2200,5,Harbor,501,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1300 W  186TH                        ST,,33.862,-118.2982
201221450,09/26/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1700,12,77th Street,1218,1,210,ROBBERY,0342 1822 0448 0429 0344 1309 0432,22,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,5700 S  VERMONT                      AV,,33.9899,-118.2915
211416418,08/11/2021 12:00:00 AM,08/11/2021 12:00:00 AM,200,14,Pacific,1496,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,6100 W  CENTURY                      BL,,33.9456,-118.3904
220606848,02/23/2022 12:00:00 AM,02/22/2022 12:00:00 AM,2100,6,Hollywood,646,1,330,BURGLARY FROM VEHICLE,0344 1822 1501 1300 1307 0329 1609,25,M,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,HOLLYWOOD                    BL,WILCOX                       AV,34.1016,-118.331
231806574,02/19/2023 12:00:00 AM,02/19/2023 12:00:00 AM,1730,18,Southeast,1829,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 1300 1313 0419 0416 1259 1251,15,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627.0,,,,CENTRAL,ALAMEDA,33.9456,-118.2323
221318701,10/03/2022 12:00:00 AM,10/02/2022 12:00:00 AM,1000,13,Newton,1321,2,354,THEFT OF IDENTITY,0930,61,M,H,605.0,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,354.0,,,,200 E  24TH                         ST,,34.026,-118.2663
201908105,03/26/2020 12:00:00 AM,03/25/2020 12:00:00 AM,2200,19,Mission,1959,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,10000    BARTEE                       AV,,34.2522,-118.4339
230904338,01/10/2023 12:00:00 AM,12/20/2022 12:00:00 AM,1645,9,Van Nuys,966,2,354,THEFT OF IDENTITY,0922 1822,77,F,W,602.0,BANK,,,IC,Invest Cont,354.0,,,,4900    VARNA                        AV,,34.1595,-118.4247
221415059,07/21/2022 12:00:00 AM,07/21/2022 12:00:00 AM,810,14,Pacific,1488,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,30,M,B,101.0,STREET,,,IC,Invest Cont,740.0,,,,RAMSGATE,INTERCEPTOR,33.9553,-118.3827
201409268,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,600,14,Pacific,1479,1,310,BURGLARY,1606 0344,54,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,5200    THORNBURN                    ST,,33.9686,-118.3702
231011534,07/21/2023 12:00:00 AM,07/21/2023 12:00:00 AM,200,10,West Valley,1063,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,18500    CLARK                        ST,,34.1704,-118.536
241309047,05/04/2024 12:00:00 AM,05/04/2024 12:00:00 AM,1554,13,Newton,1351,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,M,W,405.0,CLOTHING STORE,,,IC,Invest Cont,442.0,,,,4000 S  MAIN                         ST,,34.0075,-118.2775
230816442,11/03/2023 12:00:00 AM,10/12/2023 12:00:00 AM,300,8,West LA,816,1,330,BURGLARY FROM VEHICLE,0344 1822,21,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,400    MIDVALE                      AV,,34.0673,-118.4534
202014288,09/06/2020 12:00:00 AM,09/05/2020 12:00:00 AM,2130,20,Olympic,2069,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1100 S  WESTMORELAND                 AV,,34.0476,-118.2891
